Putheolum	Pozzuoli	Pozzuoli	Pouzzoles	Pozzuoli	ポッツオーリ
pyrobolus	bomba	bomba	bombe	bomb	爆弾
Pyrrhi victoria	vittoria di Pirro, vittoria pirrica	victoria pírrica	victoire à la Pyrrhus	Pyrrhic victory	
pābulārī	pascere, pascolare	pacer, pastar	brouter, paître	graze, pasture	
pābulātiō	prateria da pascolo, pascolo, pastura	pastos	pâturage, pâture	pasture	放牧地
pāpiliō	farfalle diurne, farfalla diurna	mariposa diurna	papillon diurne, papillon de jour, rhopalocère	butterfly	蝶々, 蝶, 蝴蝶, チョウ
Pārcitas	sobrietà, parsimonia	frugalidad, austeridad	frugalité	frugality	
pāscere	pascere, pascolare	pacer, pastar	brouter, paître	graze, pasture	
pāva		pava	paonne	peahen	
pēs	piede, piède, piede	pie	pied	foot	足, 足, 足
pūtesco	marcire, putrefare, putrefarsi, andare a male	pudrir, podrir, podrirse, pudrirse	pourrir, se décomposer, se putréfier, se pourrir	rot off, rot, decompose, decay	腐る
quadraginta	quaranta	cuarenta, 40	quarante	forty	四十
quadraginta duo	quarantadue	cuarenta y dos, 42	quarante-deux, 42	forty-two	四十二
quadraginta quattuor	quarantaquattro	cuarenta y cuatro, 45	quarante-quatre	forty-four	四十四
quadraginta quinque	quarantacinque	cuarenta y cinco, 46	quarante-cinq	forty-five	四十五
quadraginta septem	quarantasette	cuarenta y siete, 47, cuarenta y siete, cuarenta y siete	quarante-sept	forty-seven, forty-seven, forty-seven	四十七
quadraginta sex	quarantasei	cuarenta y seis, 46	quarante-six	forty-six	四十六
quadraginta tres	quarantatré	cuarenta y tres, 44	quarante-trois	forty-three	四十三
quadraginta unus	quarantuno	cuarenta y uno	quarante-et-un, quarante et un	forty-one	四十一
quadringentī	quattrocento	cuatro cientos	quatre cents, quatre-cents	four hundred	
quam celerrime	al più presto, il più presto possibile, quanto prima, il prima possibile	cuanto antes, antes posible, lo más rápido posible, tan pronto como sea posible, rápido, rápidamente	dès que possible, au plus vite	ASAP, soonest possible, earliest possible, asap, as soon as possible	できるだけ早く, 出来る限り早期, できる限り急いで, 可及的速やかに
quam primum	al più presto, il più presto possibile, quanto prima, il prima possibile	cuanto antes, antes posible, lo más rápido posible, tan pronto como sea posible, rápido, rápidamente	dès que possible, au plus vite	ASAP, soonest possible, earliest possible, asap, as soon as possible	できるだけ早く, 出来る限り早期, できる限り急いで, 可及的速やかに
quando	quando; quando	cuando, cuándo, quando; cuándo	quand; quand	when; when	いつ; 
quanto… tanto		cuanto, tanto… quanto; tanto… quanto, según, tanto como, hasta donde	autant que, dans la mesure où, en proportion de ce que; autant que, dans la mesure où, selon que	as much as; as much as, according as, as, so far as	
quantum		cuanto, tanto… quanto	autant que, dans la mesure où, en proportion de ce que	as much as	
quarantanna	quarantena	cuarentena	quarantaine	quarantine	検疫
quarcum	quark	quark	quark	quark	クォーク
Quataria	Qatar	Qatar	Qatar, État du Qatar	Qatar, State of Qatar	カタール
quattuor	quattro	cuatro	quatre	four	四, 四つ, ４
quattuordecim	quattordici	catorce, catorce	quatorze	fourteen	十四
quercus	quercia	robles, roble	chêne	oak, oak tree	かしわ, 柏, オーク, オーク
Quid novi	Cosa c'è di nuovo, Che novità, Che novità ci sono	Qué hay de nuevo	Quoi de neuf	What's new	
quietus	morte; morte	muerte, desaparición, fallecimiento, defunción; muerte	décès, mort; mort	case of death, event of death, death, fatality; death, dead	死; 死, 死亡
quingenti	cinquecento	quinientos	cinq cents, cinq-cents	five hundred	五百
quinquaginta	cinquanta	cincuenta, 50	cinquante	fifty	五十
quinquaginta duo	cinquantadue	cincuenta y dos, 52	cinquante-deux	fifty-two	五十二
quinquaginta quattuor	cinquantaquattro	cincuenta y cuatro, 54	cinquante-quatre	fifty-four	五十四
quinquaginta quinque	cinquantacinque	cincuenta y cinco, 55	cinquante-cinq	fifty-five	五十五
quinquaginta septem	cinquantasette	cincuenta y siete, 57	cinquante-sept	fifty-seven	五十七
quinquaginta sex	cinquantasei	cincuenta y seis, 56	cinquante-six	fifty-six	五十六
quinquaginta tres	cinquantatré	cincuenta y tres, 53	cinquante-trois	fifty-three	五十三
quinquaginta unus	cinquantuno	cincuenta y uno, 51	cinquante-et-un, cinquante et un	fifty-one	五十一
quisquiliae	spazzatura, rifiuto, immondizia	basura, chatarra, deshecho	déchet, ordure	rubbish, waste, trash, garbage, refuse, garbage, junk, trash	ゴミ, ごみ, 廃物
quota hōra est?	che ora è?, che ore sono?	¿qué hora es?, ¿qué horas son?	quelle heure est-il ?	what time is it, what's the time?, what time is it?	何時ですか？
quīndecim	quindici	quince, quince, 15	quinze	fifteen	十五
quīnque	cinque	cinco	cinq	five	五
Radiatio Cherenkov	Radiazione Čerenkov	radiación de Cherenkov		Cherenkov radiation	
radiolus	barbicella, amulo			barbicel	
radium	radio	radio, radio, radio, radio, radio, radio	radium	radium	ラジウム
radius	radio; barbula	radio; bárbulas, barbillas	radius; barbule	radius; barbule	橈骨; 
radix	radice	raíz	racine	root	根
rado	radere, radersi	afeitar, rapar, rasurar	raser	shave	そる
radon	radon	radon, radón	radon	radon	ラドン, レイドン
radula	grattugia	rallador de queso	râpe, râpe à fromage	cheesegrater, grater, cheese grater	卸し金
Ragusia	Ragusa	Ragusa	Raguse	Ragusa	
raptus	stupro, violentazione, violenza sessuale	violación, estupro, estupro	viol	rape, assault, rape, rape, violation, ravishment, rape	
Ravenna	Ravenna	Rávena	Ravenne	Ravenna	ラヴェンナ
Reata	Rieti	Rieti	Rieti	Rieti	リエーティ
Reate	Rieti	Rieti	Rieti	Rieti	リエーティ
Reathe	Rieti	Rieti	Rieti	Rieti	リエーティ
rebellio	ribellione, rivolta, sommossa, insurrezione, tumulto	insurrección, revuelta, rebelión, alzamiento, insurgencia, levantamiento, sublevación	insurrection, révolte, rébellion, soulèvement	insurrection, rebellion, insurgency, rising, revolt, uprising	
receptaculum sarcinarum	cofano posteriore, bagagliaio	maletero	coffre	boot, trunk	
receptio	ricevimento	recepción	réception	reception	受付
recipere	ricevere	recibir	recevoir	receive	受け取る, 貰う, 受ける, もらう
rectangulum	rettangolo	rectángulo	rectangle	rectangle	長方形
recusare	rifiutare, declinare	rehusar, declinar, rechazar	refuser	refuse, decline	断る, 拒む, 否む
reddo	restituire	restituir, devolver	rendre, restituer	give back, return	戻す, 返す
redhibeo	restituire	restituir, devolver	rendre, restituer	give back, return	戻す, 返す
Referendum	referendum	referéndum, referendo	référendum	referendum, plebiscite	国民投票, こくみんとうひょう, レファレンダム
refugium	rifugio, asilo	refugio, santuario	refuge, sanctuaire, asile, retraite	sanctuary, refuge, asylum	
regina	regina; regina	reina; reina, reina	reine; reine	queen, queen consort; queen, queen regnant	后; 女王
Regium Lepidi	Reggio Emilia, Reggio nell'Emilia	Reggio Emilia	Reggio d'Émilie		レッジョ・エミリア
Regium Lepidum	Reggio Emilia, Reggio nell'Emilia	Reggio Emilia	Reggio d'Émilie		レッジョ・エミリア
regnum	regno; regno	reino; reino	règne; kuningaskunta, royaume	kingdom; kingdom	界; 王国
religiō	religione	religión	religion	religion	宗教
reliquiarium	reliquiario	relicario	reliquaire	reliquary	
remiscere	mischiare, mescolare	mezclar	mélanger	mix	まぜる
remotius	lontano	lejo, lejos, lejano, lejana	loin, lointain, éloigné	far	遠い
ren	rene	riñón	rein	kidney	腎臓
repente	brusco, bruscamente, subitaneamente, repentinamente, subitamente, all'improvviso, di botto, di colpo, improvvisamente	abrupto, brusco, repentinamente, bruscamente, de repente, súbitamente, abruptamente	abrupt, brusque, brusquement, subitement, soudainement, tout d'un coup, tout à coup, promptement	abrupt, suddenly, abruptly, all of a sudden, out of the blue	突然
Res Publica Romana	Repubblica romana	República Romana	république romaine	Roman Republic	
Respublica Africae Mediae	Repubblica Centrafricana	República Centroafricana	République centrafricaine, Centrafrique	Central African Republic	中央アフリカ共和国
Respublica Congensis	Repubblica del Congo	República del Congo, Congo Brazzaville, Congo, Congo	République du Congo, Congo-Brazzaville, Congo, Congo	Republic of the Congo, Congo-Brazzaville	コンゴ共和国
Respublica Coreae	Corea del Sud, Sud Corea	Corea del Sur	Corée du Sud, République de Corée	South Korea, Republic of Korea	韓国
Respublica Populi Democratica Coreae	Corea del Nord, Nord Corea	Corea del Norte	Corée du Nord, République populaire démocratique de Corée	North Korea, Democratic People's Republic of Korea	北朝鮮, 朝鮮民主主義人民共和国
Respublica Veneta	Serenissima Repubblica di Venezia, Repubblica di Venezia, Serenissima, Repubblica di San Marco, Repubblica Veneta	República de Venecia	République de Venise, Sérénissime, Sérénissime République de Venise	Republic of Venice, Most Serene Republic of Venice, Venetian Republic, Most Serene Republic	
Respublicae Unitae Americae	Stati Uniti, Stati Uniti d'America	Estados Unidos de América, Estados Unidos, E.E.U.U., EEUU	États-Unis d'Amérique, États-Unis	United States, United States of America, America, US, U.S., U.S.A., U.S. of A., States, USA	アメリカ合衆国, 米国, アメリカ
restituo	restituire	restituir, devolver	rendre, restituer	give back, return	戻す, 返す
retina	retina; retina	retina; retina	rétine; rétine	retina; retina	網膜; 
Reunio	Riunione	Reunión	Réunion	Réunion	レユニオン
revolutio	rivoluzione	revolución	révolution	revolution	革命, 改革
rex	re	rey	roi	king	国王, 国王
Rhegium Lepidi	Reggio Emilia, Reggio nell'Emilia	Reggio Emilia	Reggio d'Émilie		レッジョ・エミリア
Rhenania	Renania	Renania	Rhénanie, Renania	Rhineland	ラインラント
rhenium	renio	renio	rhénium	rhenium	レニウム
Rhenus	Reno	Rin	Rhin	Rhine	
rhinoceros	rinoceronte	rinoceronte	rhinocéros	rhinoceros, rhino	犀 (さい、, サイ, 犀
rhodium	rodio	rodio	rhodium	rhodium	ロジウム
Ribes rubrum	ribes, ribes rosso	grosellero	groseillier, groseillier à grappes	redcurrant, ribes, red currant, red-currant	アカスグリ
ridere	ridere	reír	rire	laugh	笑う
ripa	argine, sponda, riva	ribera, margen	berge	bank	
riscus	valiggia, valigia	valija, maleta	valise, valoche	case, suitcase	スーツケース
robustus	forte, possente, potente	fuerte	fort, puissant	strong, powerful, forceful	強い
roentgenium	roentgenio	roentgenio	roentgenium	roentgenium	ウンウンウニウム
rogatio	domanda	pregunta	question	question	質問, 問い, 問題
Roma	Roma, Città Eterna	Roma	Rome	Rome, Eternal City	ローマ
rosa	rosa	rosa	rose	rose	バラ, 薔薇
rosarium	rosario; giardino di rose, rosario	rosario; jardín de rosas, rosaleda, rosalera	rosaire, chapelet; roseraie, rosarium	rosary; rosarium, rosery	ロザリオ; 薔薇園
roseus	rosa	rosado	rose	pink	ピンク, 桃色
rosmarinus	rosmarino	romero	romarin	rosemary	ローズマリー
Rosmarinus officinalis	rosmarino	romero	romarin	rosemary	ローズマリー
rota	volante, ruota	rueda	roue	wheel	車輪, 輪
Ruanda	Ruanda	Ruanda	Ruanda	Rwanda, Rwandese Republic	ルワンダ
ruber	rosso; rosso	rojo, roja; rojo, bermejo, colorado	rouge; rouge	red; red	赤; 赤い
rubeus	rosso	rojo, bermejo, colorado	rouge	red	赤い
rubicundus	rosso	rojo, bermejo, colorado	rouge	red	赤い
rubidium	rubidio	rubidio	rubidium	rubidium	ルビジウム
rubidus	rosso	rojo, bermejo, colorado	rouge	red	赤い
rufus	rosso	rojo, bermejo, colorado	rouge	red	赤い
Rugosus	rugoso			wrinkled	
rupes	roccia	rocas, roca	roche, pierre	rock	岩石, 岩
rus	villaggio, borgo	aldea, pueblo	village	village	村
russeus	rosso	rojo, bermejo, colorado	rouge	red	赤い
Russica	russo, Russo	ruso	russe	Russian, Russian	ロシア語, ロシヤ語, 露西亜語
Rusticus	agricolo	agrícola	agricole, géorgique	agricultural, georgic	
ruthenium	rutenio	rutenio	ruthénium	ruthenium	ルウニウム
rutherfordium	rutherfordio	rutherfordio	rutherfordium	rutherfordium	ラザホージウム
rutrum	pala, paletta, paletta	pala	pelle	shovel	ショベル
saccharum	zucchero	azúcar	sucre	sugar	砂糖
Sacramenta Argentariae	Giuramento di Strasburgo	Juramentos de Estrasburgo	serments de Strasbourg	Oaths of Strasbourg	ストラスブールの誓い
sacramentum	sacramento	sacramento	sacrement	sacrament, sacrament, sacrament, sacrament	秘跡
saeculum	generazione	generación	génération	generation	
saepe	spesso, frequentemente, sovente	a menudo, frecuentemente	souvent, fréquemment	often, frequently, oftentimes, regularly	しばしば, よく
Sahara Occidentalis	Sahara Occidentale	Sahara occidental	Sahara Occidental	Western Sahara	
sal	sale, sale da tavola, sale da cucina, sale alimentare	sal	sel, sel de table, sel alimentaire, sel de cuisine	salt	塩, 食塩
salarium	stipendio, salario, remunerazione, emolumento	salario, sueldo	salaire	salary, remuneration, wages, emolument	サラリー, 給料
salsicia	salsiccia	salchicha	saucisse	sausage	ソーセージ
saltare	danzare, ballare	danzar, bailar	danser	dance	踊る, ダンスする
saltatio	ballare, danza, ballo	baile, danza	danse	dance	踊り
saltatus	ballare, danza, ballo	baile, danza	danse	dance	踊り
salve	benvenuto	bienvenido, bienvenida, acogida	bienvenue	welcome	ようこそ
salīva	saliva	saliva	salive	spit, saliva	唾, つば
sambucus	sambuco	saúco, sambuca	sureau	elderberry, elder	ニワトコ, 接骨木
Samoa Americana	Samoa americane	Samoa Americana, Samoa Estadounidense	Samoa américaines	American Samoa	アメリカ領サモア
Sancta Lucia	Saint Lucia	Santa Lucía	Sainte-Lucie	Saint Lucia	セントルシア
sanguis	sangue	sangre	sang	blood	血, 血液
sarculum	zappa	azada, azadón	binette, houe	hoe	鍬
Sardinia	Sardegna	Cerdeña	Sardaigne	Sardinia	サルディニア島
satiatus	soddisfatto, contento	satisfecho	satisfait, content	satisfied, happy, pleased, content	
satyrus	scimpanze, scimpanzé, scimpanzè	chimpancé	chimpanzé	chimpanzee, chimp	チンパンジー
sauna	sauna	sauna	sauna	sauna, sweathouse, sudatory, steambath	サウナ
saxum	roccia	rocas, roca	roche, pierre	rock	岩石, 岩
Scabellum	sgabello	taburete, banqueta	tabouret, escabeau, escabelle, placet, banquette	stool	
scabiēs	scabbia	sarna	gale, mal de Sainte-Marie, scabiose	scabies, seven-year itch	
scaccarium	scacchiera	tablero de ajedrez	échiquier	chessboard	チェスボード
scalprum librarium	temperamatite, temperino, tempera matite	sacapuntas, afilalápices	aiguisoir, taille-crayon, affile-crayon, aiguise-crayon, aiguisoire	pencil sharpener, pencil pointer, parer, topper, pencil parer, pencil topper, pen sharpener, sharpener	鉛筆削り
scalptor	scultore	escultor, escultora	sculpteur	sculptor	彫刻家
Schinguis Kan	Gengis Khan	Gengis Kan	Gengis Khan	Genghis Khan	チンギス・カン
scientiola	infarinatura	chapurreo, nociones, rudimento	rudiment	smattering	
sclavus	schiavo	esclavo	esclave	slave	奴隷
scopae	scopa	escoba	balai	besom	箒
scrotum	scroto	escroto	scrotum	scrotum	陰嚢
scrūta	spazzatura, rifiuto, immondizia	basura, chatarra, deshecho	déchet, ordure	rubbish, waste, trash, garbage, refuse, garbage, junk, trash	ゴミ, ごみ, 廃物
sculptor	scultore	escultor, escultora	sculpteur	sculptor	彫刻家
scītāmentum	leccornia, squisitezza, delizia culinaria, ghiottoneria, prelibatezza, golosità, delizia	exquisitez, delicadeza	régal, plat exquis, délice	delicacy, dainty, culinary delight, treat, goody	珍味, 美味, デリカシー
seaborgium	seaborgio	seaborgio	seaborgium	seaborgium	シーボーギウム
secale	segale	centeno	seigle, grand blé, blé de la saint Jean	rye	ライムギ
secale cereale	segale	centeno	seigle, grand blé, blé de la saint Jean	rye	ライムギ
secare	tagliare	cortar	couper	cut	切る
secundum	secondo	segundo	seconde	second	秒
Segobia	Segovia	Segovia	Ségovie	Segovia	セゴビア
Segovia	Segovia	Segovia	Ségovie	Segovia	セゴビア
segregátio nigritarum	apartheid	apartheid	apartheid	apartheid	アパルトヘイト
seleni	selenio	selenio	sélénium	selenium	セレン
sella	sedia	silla	chaise	chair	椅子, 椅子
semel pro semper	definitivamente, una volta per tutte, in modo definitivo, una volta per sempre	definitivamente	définitivement, une fois pour toute, une bonne fois pour toutes	definitively, definitely, once and for all, once for all, for good	
semianimus	mezzo morto	medio muerto	à moitié mort	half-dead, halfdead	
semimortuus	mezzo morto	medio muerto	à moitié mort	half-dead, halfdead	
semper	sempre, costantemente	siempre, perpetuamente, perennemente, perdurablemente	toujours, tout le temps, constamment, en permanence, sans cesse, perpétuellement	always, continual, aye, perpetually, continually, constantly	いつも
senator	senatore	senador, senadora	sénateur	senator	上院議員
senātor	senatore	senador, senadora	sénateur	senator	上院議員
septem	sette, sette	siete, siete	sept	seven	七
september	settembre	septiembre, setiembre	septembre	September	九月, 長月, 9月
September	settembre	septiembre, setiembre	septembre	September	九月, 長月, 9月
septendecim	diciassette	diecisiete	dix-sept	seventeen	十七
septentrio	nord	norte	nord	north	北
septimana	settimana	semana	semaine	week	週間
septimus	settimo	séptimo, sétimo	septième, 7ème	seventh, 7th	７番目
septingentī	settecento	setecientos	sept cents, sept-cents	seven hundred	七百
septuaginta	settanta	setenta, 70	soixante-dix, septante	seventy	七十
septuaginta septem	settantasette	setenta y siete	soixante-dix-sept	seventy-seven	七十七
sepulcretum	cimitero, camposanto	cementerio, campo santo	cimetière	cemetery, churchyard, cœmetery, graveyard, burial ground	墓地, ぼち
sepulcrum	tomba, sepolcro, tumulo	sepultura, tumba, sepulcro	tombe	grave, tomb, tomb, sepulcher	墓
Sequana	Senna	Sena	Seine	Seine	セーヌ川
Serbia	Serbia	Spanish, Serbia	Serbie	Serbia	ブタペスト, セルビア
Serenissima Respublica	Serenissima Repubblica di Venezia, Repubblica di Venezia, Serenissima, Repubblica di San Marco, Repubblica Veneta	República de Venecia	République de Venise, Sérénissime, Sérénissime République de Venise	Republic of Venice, Most Serene Republic of Venice, Venetian Republic, Most Serene Republic	
sermo uulgaris	Latino volgare	latín vulgar	latin vulgaire, latin populaire	Vulgar Latin	
sermō vulgāris	Latino volgare	latín vulgar	latin vulgaire, latin populaire	Vulgar Latin	
serra	sega	serrucho, sierra	scie	saw	鋸
serum	siero di latte, siero	suero, suero de la leche	lactosérum, petit-lait	whey	乳清
serva	schiava	esclava	esclave	slave	
servitus	schiavitù	esclavitud	esclavage	slavery	奴隷
servus	schiavo	esclavo	esclave	slave	奴隷
serō	piantare	plantar	planter	plant	植える
sescentī	seicento	seiscientos	six cents, six-cents	six hundred	六百
sex	sei, sei	sies, seis, 6	six	six	六, 六つ, ６, シックス
sexaginta	sessanta	sesenta, 60	soixante	sixty	六十
sexaginta sex	sessantasei	sesenta y seis	soixante-six	sixty-six	六十六
sextilis	agosto	agosto	août, aout	August	八月, 葉月, 8月
si		si	si	whether, if	
si fueris Rōmae, Rōmānō vīvitō mōre; si fueris alibī, vīvitō sīcut ibī	paese che vai, usanze che trovi, a Roma, fai come i romani, quando a Roma vai, fai come vedrai, quando sei a Roma, vivi come i romani	allá donde fueres, haz lo que vieres, si entre burros te ves, rebuzna alguna vez, donde fueres haz lo que vieres, a donde fueres haz lo que vieres	autre pays, autre coutume, à Rome, fais comme les Romains	When in Rome do as the Romans do, When in Rome, when in Rome, do as the Romans, when in Rome, do like the Romans do, when in Rome, do as the Romans do, when in Rome	郷に入っては郷に従え, 郷に入りては郷に従え
Si tacuisses, philosophus mansisses.					
sic	sì, come no	sí	oui	yes, aye, yeah, yep, ay	はい
Sicagia	Chicago	Chicago	Chicago	Chicago	シカゴ
Sicagum	Chicago	Chicago	Chicago	Chicago	シカゴ
siccare	asciugare, seccare, essiccare	secar, enjugar	essuyer, sécher	dry	乾かす
siccitas	siccità	sequías, sequía	sécheresse	drought, drouth	日照り, 旱魃
siccus	assetato; secco, secca, asciutto, asciutta, asciutta, asciutto, secca, secco	sediento; seco	assoiffé; sec, sèche	thirsty; dry	喉が乾いた; 乾いた, かわいた
silere	tacere, restare zitto, rimanere zitto, rimanere in silenzio, restare in silenzio, stare zitto, stare in silenzio; fare silenzio, tacere	callar, guardar silencio; 	se taire; 	be silent, keep silent, hold one's tongue, remain silent, keep quiet; be silent, keep silence, be in silence	黙る; 
silex	roccia	rocas, roca	roche, pierre	rock	岩石, 岩
silicium	silicio	silicio	silicium	silicon	珪素, シリコン
silva	foresta	bosques, bosque, selva, silva	forêt	forest	森, 森林, 森林
Silva	bosco	bosque	bois	wood	
Silva Ducis	Hertogenbosch	Bolduque	Bois-le-Duc	's-Hertogenbosch	スヘルトーヘンボス
simia	scimmia	mono	singe	monkey	猿
simul	simultaneamente	a la vez, simultáneamente, al mismo tiempo	en même temps, simultanément, à la fois	at once, simultaneously, at the same time	同時に, 一斉に
Sina	Cina	China	Chine, République populaire de Chine	China, People's Republic of China	中国
sine	senza, privo di	sin	sans	without, devoid of	なしで
Sine moneta	gratuito, gratis, in omaggio	gratuito, gratis, gratuita	gratuit, gratis	free, complimentary	無料
sine tecto	senza casa, senza tetto	sin techo	sans domicile fixe, SDF, sans abri, itinérant, clochard, sans-abri, sans-logis, clodo, clodoche	homeless, roofless	
Singapura	Singapore	Singapur	Singapour	Singapore	シンガポール
singultare	singhiozzare	hipar, tener hipo	hoqueter, avoir le hoquet	hiccup, have the hiccups	しゃっくりをする
sinicus	cinese	chino, china	chinois	Chinese	
sinistra	sinistra	izquierda	gauche, à gauche	left	左
sinus	ansa, insenatura	ensenada, ancón	anse	bight, inlet	
sitiens	assetato	sediento	assoiffé	thirsty	喉が乾いた
sitis	sete	sed	soif	thirst	乾き
sitīre	avere sete	tener sed	avoir soif	thirst, be thirsty	
Slovenia	Slovenia	Eslovenia	Slovénie	Slovenia	スロベニア
sobrius	sobrio	sobrio		sober	
Sobrīetas	sobrietà, parsimonia	frugalidad, austeridad	frugalité	frugality	
socer	suocero	suegro, padre político	beau-père	father-in-law	舅, 義父
sociale subsidium	assistenza sociale	ayuda social	aide sociale	social relief	
sociendarum civitatum doctrina	federalismo	federalismo	fédéralisme	federalism	連邦主義
socrus	suocera	suegra, madre política	belle-mère, belle doche, belle-doche	mother in law, mother-in-law	姑, 義母, 義理の母
sol	sole	sol, Sol	soleil, Soleil, soleil	sun, Sun, sun, sun	日, ひ, hi, 太陽
solana lycopersica	pomodoro	tomate	tomate	tomato	トマト
solea	sandalo	sandalia, chala, chinela	sandale	sandal	サンダル, 草鞋
solium	sedia	silla	chaise	chair	椅子, 椅子
Solstītium	solstizio	solsticio	solstice	solstice	至点
solum	pavimento	suelo, piso	sol, plancher	floor	床
Somalia	Somalia	Somalia	Somalie	Somalia	ソマリア
somniare	sognare	soñar	rêver	dream	夢
somnium	sogno	sueño	rêve, songe	dream	夢
somnus	sonno	sueño	sommeil, dodo, repos	sleep, slumber	睡眠
sophisma	sofisma	sofisma	sophisme	sophism	
soror	sorella	hermana	sœur	sister	
soror uterina		media hermana materna	demi-sœur maternelle, sœur utérine	uterine sister, maternal half sister	
Sors	fato, destino	destino	destin	destiny, fate	
spectator	spettatore	espectador	spectateur	spectator, viewer, onlooker	
speculum	specchio; specchio	espejo; espejo	miroir, glace; miroir, glace	mirror, glass, panel; glass, mirror, panel	鏡; 鏡
spermophilus		spermophilus	spermophile, souslik	spermophilus, spermophilus stricto sensu	
spermophilus stricto sensu		spermophilus	spermophile, souslik	spermophilus, spermophilus stricto sensu	
spica	spiga	espiga	épi	ear, spike	穂
spina	spina	espina	épine	thorn	刺, 棘, 茨, 荊
Spiritus Sanctus	Spirito Santo	Espíritu Santo	Saint-Esprit, Esprit-Saint	Holy Spirit, Holy Ghost	聖霊
sponsa	fidanzata, promessa, promessa sposa	novia, prometida	fiancée	fiancée, fiancee, betrothed, bride-to-be, betrothed	
sponsus	fidanzato, promesso	novio, prometido	fiancé	fiancé, fiance, betrothed, groom-to-be, betrothed	
spuo	sputare	escupir	cracher	spit	
sputo	sputare	escupir	cracher	spit	
squalus	squalo	tiburón	requin	shark	鮫
Stagnum	laguna	lagunas, laguna	lagune	lagoon	
stannum	stagno	estaño	étain	tin	錫, スズ
statua	statua	estatua	statue	statue	像
status	luogo, posto	lugar, ubicación, sitio, localidad	lieu, endroit	place, location, situation	場所, 位置
Status Uniti Americae	Stati Uniti, Stati Uniti d'America	Estados Unidos de América, Estados Unidos, E.E.U.U., EEUU	États-Unis d'Amérique, États-Unis	United States, United States of America, America, US, U.S., U.S.A., U.S. of A., States, USA	アメリカ合衆国, 米国, アメリカ
statēra	bilancia, stadera	báscula, balanza	balance	scale, scales, weighing scale, balance	秤, 天秤
stella	stella; stella	estrella, astro; estrella	étoile; 	star; star	星, 恒星, 星; 
sterilis	infertile, sterile, infecondo	infértil, estéril, infecundo	infertile, infécond, brehaigne, bréhaigne, stérile	infertile, barren	不妊, 不毛
sternum	sterno	esternón	sternum	breastbone	胸骨
sternuo	starnutire, starnutare	estornudar	éternuer, atchoumer	sneeze, sternutate	くしゃみをする, しゃみをする
stibium	antimonio	antimonia, antimonio	antimoine	antimony	アンチモン
stilus sphæratus	penna a sfera	bolígrafo, esferógrafo	bic, stylo à bille, stylobille, stylo-bille, crayon à bille	ballpoint, ballpoint pen	ボールペン
stiria	ghiacciolo	carámbano	glaçon	icicle	氷柱, つらら
stomachus	stomaco	estómago	estomac	stomach	胃
strix	civetta	búho, lechuza	chouette, hibou, strigiforme, hibou	owl	フクロウ, 梟
strontium	stronzio	estroncio	strontium	strontium	ストロンチウム
strophium	reggiseno, reggipetto	sostén, sujetador	soutien-gorge, brassière, soutif, soutien-doudounes, soutien-machins, soutien-nibards, sous-tif	bra, brassiere	ブラ, ブラジャー, 乳押さえ
struthio	struzzo	avestruz	autruche	ostrich	ダチョウ, 駝鳥, オーストリッチ
struthiocamelus	struzzo	avestruz	autruche	ostrich	ダチョウ, 駝鳥, オーストリッチ
studens	studente	estudiente, estudiante	étudiant	student	学生
studiosus	curioso	curioso	curieux	curious, funny	好奇心, 知る
stāre	stare in piedi	estar de pie	être debout	stand	立つ
stūre	volante	volante	volant, volant directionnel	wheel, steering wheel	ハンドル
suavis	dolce	dulce, suave	doux, sucré	sweet	甘い
Suazia	Swaziland	Suazilandia	Swaziland	Swaziland	スワジランド
subclassis		subclase	sous-classe	subclass	
subfamilia	sottofamiglia	subfamilia	sous-famille	subfamily	
subniger	nerastro	negruzco	noirâtre	blackish	
subordo		suborden	sous-ordre	suborder	
subridere	sorridere	sonreír	sourire	smile	微笑む
succus	succo di frutta	zumo de fruta	jus de fruit	fruit juice, juice	果汁, フルーツジュース
sucus	salsa, sugo	sauce, salsa	sauce	sauce	ソース
sudarium	fazzoletto	pañuelo	mouchoir	handkerchief	ハンカチ, 손수건, ハンカチ
sudor	sudore, traspirazione	sudor	sueur, transpiration	sweat, sudor, perspiration	汗
sufficit cuique diei malitia sua	ogni giorno la sua pena	basta a cada día su propio mal, a cada jornada su sudor	à chaque jour suffit sa peine, demain est un autre jour	sufficient unto the day is the evil thereof, never cross a bridge before you come to it	
suicidium	suicidio	suicidio	suicide, suicide	suicide, suicide, self-destruction, self-killing, self-murder	自殺
sulphur	zolfo	azufre	soufre	sulphur	硫黄
super		hacia arriba	vers le haut	up	上に
supercilium	sopracciglio	ceja	sourcil	eyebrow, supercilium, brow	まゆ
supero	superare, sorpassare	sobrepasar	surpasser	surpass	
superordo	superordine	superorden	superordre	superorder	
supra		hacia arriba	vers le haut	up	上に
Surinamia	Suriname	Surinam, Surinán, Suriname	Surinam, Suriname	Suriname	スリナム
sus	maiale, porco	cerdo, puerco, marrano, cochino, chancho	cochon, porc	pig, hog	豚
sutor	calzolaio	zapatero, zapatera	cordonnier, savatier	cobbler, shoemaker	
suum cuique	a ciascuno il suo	cada quién a su gusto, cada loco con su tema, para gustos hay colores	chacun à son goût, à chacun son goût, à chacun ses goûts, chacun ses goûts, des goûts et des couleurs, on ne discute pas	to each his own, each to his own, to each their own, there's no accounting for taste, different strokes for different folks	十人十色, それぞれ自分自身に
